Group,File,Solver,Number of Recursive Calls,Decision Steps
uf20,test/uf20-0878.cnf,DPLL,155,77
uf20,test/uf20-0877.cnf,DPLL,313,156
uf20,test/uf20-0876.cnf,DPLL,199,99
uf20,test/uf20-0875.cnf,DPLL,167,83
uf20,test/uf20-0874.cnf,DPLL,241,120
uf20,test/uf20-0873.cnf,DPLL,129,64
uf20,test/uf20-0872.cnf,DPLL,107,53
uf20,test/uf20-0871.cnf,DPLL,213,106
uf20,test/uf20-0870.cnf,DPLL,139,69
uf20,test/uf20-0869.cnf,DPLL,125,62
uf20,test/uf20-0868.cnf,DPLL,403,201
uf20,test/uf20-0867.cnf,DPLL,189,94
uf20,test/uf20-0866.cnf,DPLL,169,84
uf20,test/uf20-0865.cnf,DPLL,231,115
uf20,test/uf20-0864.cnf,DPLL,143,71
uf20,test/uf20-0863.cnf,DPLL,215,107
uf20,test/uf20-0862.cnf,DPLL,195,97
uf20,test/uf20-0861.cnf,DPLL,133,66
uf20,test/uf20-0860.cnf,DPLL,115,57
uf20,test/uf20-0859.cnf,DPLL,171,85
uf20,test/uf20-0858.cnf,DPLL,163,81
uf20,test/uf20-0857.cnf,DPLL,137,68
uf20,test/uf20-0856.cnf,DPLL,297,148
uf20,test/uf20-0855.cnf,DPLL,97,48
uf20,test/uf20-0854.cnf,DPLL,131,65
uf20,test/uf20-0853.cnf,DPLL,317,158
uf20,test/uf20-0852.cnf,DPLL,115,57
uf20,test/uf20-0851.cnf,DPLL,211,105
uf20,test/uf20-0850.cnf,DPLL,235,117
uf20,test/uf20-0849.cnf,DPLL,129,64
uf20,test/uf20-0848.cnf,DPLL,149,74
uf20,test/uf20-0847.cnf,DPLL,173,86
uf20,test/uf20-0846.cnf,DPLL,275,137
uf20,test/uf20-0845.cnf,DPLL,199,99
uf20,test/uf20-0844.cnf,DPLL,185,92
uf20,test/uf20-0843.cnf,DPLL,123,61
uf20,test/uf20-0842.cnf,DPLL,117,58
uf20,test/uf20-0841.cnf,DPLL,93,46
uf20,test/uf20-0840.cnf,DPLL,141,70
uf20,test/uf20-0839.cnf,DPLL,219,109
uf20,test/uf20-0838.cnf,DPLL,193,96
uf20,test/uf20-0837.cnf,DPLL,151,75
uf20,test/uf20-0836.cnf,DPLL,187,93
uf20,test/uf20-0835.cnf,DPLL,181,90
uf20,test/uf20-0834.cnf,DPLL,191,95
uf20,test/uf20-0833.cnf,DPLL,235,117
uf20,test/uf20-0832.cnf,DPLL,143,71
uf20,test/uf20-0831.cnf,DPLL,125,62
uf20,test/uf20-0830.cnf,DPLL,189,94
uf20,test/uf20-0829.cnf,DPLL,131,65
uf20,test/uf20-0828.cnf,DPLL,191,95
uf20,test/uf20-0827.cnf,DPLL,161,80
uf20,test/uf20-0826.cnf,DPLL,151,75
uf20,test/uf20-0825.cnf,DPLL,169,84
uf20,test/uf20-0824.cnf,DPLL,155,77
uf20,test/uf20-0823.cnf,DPLL,263,131
uf20,test/uf20-0822.cnf,DPLL,183,91
uf20,test/uf20-0821.cnf,DPLL,145,72
uf20,test/uf20-0820.cnf,DPLL,253,126
uf20,test/uf20-0819.cnf,DPLL,271,135
uf20,test/uf20-0818.cnf,DPLL,199,99
uf20,test/uf20-0817.cnf,DPLL,127,63
uf20,test/uf20-0816.cnf,DPLL,201,100
uf20,test/uf20-0815.cnf,DPLL,319,159
uf20,test/uf20-0814.cnf,DPLL,155,77
uf20,test/uf20-0813.cnf,DPLL,193,96
uf20,test/uf20-0812.cnf,DPLL,129,64
uf20,test/uf20-0811.cnf,DPLL,239,119
