Group,File,Solver,Result,Time,AllocBytes(KB),instances,clause-len,vars,clauses
uf20,test/uf20-0928.cnf,DPLL,True,0.003559800,3534.56,1000,3,20,91
uf20,test/uf20-0927.cnf,DPLL,True,0.003112300,2049.99,1000,3,20,91
uf20,test/uf20-0926.cnf,DPLL,True,0.003177800,1268.77,1000,3,20,91
uf20,test/uf20-0925.cnf,DPLL,True,0.005269300,3146.38,1000,3,20,91
uf20,test/uf20-0924.cnf,DPLL,True,0.004379100,214.86,1000,3,20,91
uf20,test/uf20-0923.cnf,DPLL,True,0.004342100,529.66,1000,3,20,91
uf20,test/uf20-0922.cnf,DPLL,True,0.005358900,2554.11,1000,3,20,91
uf20,test/uf20-0921.cnf,DPLL,True,0.004035300,3917.54,1000,3,20,91
uf20,test/uf20-0920.cnf,DPLL,True,0.006565300,897.93,1000,3,20,91
uf20,test/uf20-0919.cnf,DPLL,True,0.004742500,950.45,1000,3,20,91
uf20,test/uf20-0918.cnf,DPLL,True,0.005945100,4013.68,1000,3,20,91
uf20,test/uf20-0917.cnf,DPLL,True,0.005838100,967.73,1000,3,20,91
uf20,test/uf20-0916.cnf,DPLL,True,0.004540200,1268.17,1000,3,20,91
uf20,test/uf20-0915.cnf,DPLL,True,0.003783300,3572.74,1000,3,20,91
uf20,test/uf20-0914.cnf,DPLL,True,0.005497800,511.62,1000,3,20,91
uf20,test/uf20-0913.cnf,DPLL,True,0.005197900,2412.12,1000,3,20,91
uf20,test/uf20-0912.cnf,DPLL,True,0.004122200,2834.40,1000,3,20,91
uf20,test/uf20-0911.cnf,DPLL,True,0.005222300,2385.02,1000,3,20,91
uf20,test/uf20-0910.cnf,DPLL,True,0.005327800,2781.78,1000,3,20,91
uf20,test/uf20-0909.cnf,DPLL,True,0.005945100,3274.23,1000,3,20,91
uf20,test/uf20-0908.cnf,DPLL,True,0.004344200,409.95,1000,3,20,91
uf20,test/uf20-0907.cnf,DPLL,True,0.004382700,757.95,1000,3,20,91
uf20,test/uf20-0906.cnf,DPLL,True,0.004552300,3357.40,1000,3,20,91
uf20,test/uf20-0905.cnf,DPLL,True,0.004548900,1148.10,1000,3,20,91
uf20,test/uf20-0904.cnf,DPLL,True,0.003304500,2782.95,1000,3,20,91
uf20,test/uf20-0903.cnf,DPLL,True,0.005400300,3108.80,1000,3,20,91
uf20,test/uf20-0902.cnf,DPLL,True,0.003589500,3018.77,1000,3,20,91
uf20,test/uf20-0901.cnf,DPLL,True,0.003742900,3539.30,1000,3,20,91
uf20,test/uf20-0900.cnf,DPLL,True,0.003209300,1734.45,1000,3,20,91
uf20,test/uf20-0899.cnf,DPLL,True,0.005050100,1913.96,1000,3,20,91
uf20,test/uf20-0898.cnf,DPLL,True,0.005839500,263.21,1000,3,20,91
uf20,test/uf20-0897.cnf,DPLL,True,0.004854300,1221.69,1000,3,20,91
uf20,test/uf20-0896.cnf,DPLL,True,0.004498800,2528.10,1000,3,20,91
uf20,test/uf20-0895.cnf,DPLL,True,0.003144600,2303.46,1000,3,20,91
uf20,test/uf20-0894.cnf,DPLL,True,0.005999300,137.98,1000,3,20,91
uf20,test/uf20-0893.cnf,DPLL,True,0.003618700,3319.93,1000,3,20,91
uf20,test/uf20-0892.cnf,DPLL,True,0.004333900,703.98,1000,3,20,91
uf20,test/uf20-0891.cnf,DPLL,True,0.003183100,2704.43,1000,3,20,91
uf20,test/uf20-0890.cnf,DPLL,True,0.005287600,1852.17,1000,3,20,91
uf20,test/uf20-0889.cnf,DPLL,True,0.005806200,678.95,1000,3,20,91
uf20,test/uf20-0888.cnf,DPLL,True,0.003179900,2416.90,1000,3,20,91
uf20,test/uf20-0887.cnf,DPLL,True,0.002954900,1333.85,1000,3,20,91
uf20,test/uf20-0886.cnf,DPLL,True,0.004190100,307.65,1000,3,20,91
uf20,test/uf20-0885.cnf,DPLL,True,0.004340800,2556.30,1000,3,20,91
uf20,test/uf20-0884.cnf,DPLL,True,0.004908700,463.81,1000,3,20,91
uf20,test/uf20-0883.cnf,DPLL,True,0.004641200,156.66,1000,3,20,91
uf20,test/uf20-0882.cnf,DPLL,True,0.003671800,3852.72,1000,3,20,91
uf20,test/uf20-0881.cnf,DPLL,True,0.006014100,2957.64,1000,3,20,91
uf20,test/uf20-0880.cnf,DPLL,True,0.003556100,2850.13,1000,3,20,91
uf20,test/uf20-0879.cnf,DPLL,True,0.004525300,1315.59,1000,3,20,91
uf20,test/uf20-0878.cnf,DPLL,True,0.004350400,91.26,1000,3,20,91
uf20,test/uf20-0877.cnf,DPLL,True,0.007030700,2124.70,1000,3,20,91
uf20,test/uf20-0876.cnf,DPLL,True,0.005561000,1931.10,1000,3,20,91
uf20,test/uf20-0875.cnf,DPLL,True,0.004262100,471.20,1000,3,20,91
uf20,test/uf20-0874.cnf,DPLL,True,0.006007400,3448.92,1000,3,20,91
uf20,test/uf20-0873.cnf,DPLL,True,0.004093800,3113.85,1000,3,20,91
uf20,test/uf20-0872.cnf,DPLL,True,0.009477500,1948.49,1000,3,20,91
uf20,test/uf20-0871.cnf,DPLL,True,0.011182700,1843.91,1000,3,20,91
uf20,test/uf20-0870.cnf,DPLL,True,0.006513100,3451.80,1000,3,20,91
uf20,test/uf20-0869.cnf,DPLL,True,0.003414900,3003.34,1000,3,20,91
uf20,test/uf20-0868.cnf,DPLL,True,0.008600500,1052.88,1000,3,20,91
uf20,test/uf20-0867.cnf,DPLL,True,0.004938200,1976.18,1000,3,20,91
uf20,test/uf20-0866.cnf,DPLL,True,0.005240000,2615.12,1000,3,20,91
uf20,test/uf20-0865.cnf,DPLL,True,0.005799700,3908.98,1000,3,20,91
uf20,test/uf20-0864.cnf,DPLL,True,0.004469600,168.02,1000,3,20,91
uf20,test/uf20-0863.cnf,DPLL,True,0.005335100,1574.37,1000,3,20,91
uf20,test/uf20-0862.cnf,DPLL,True,0.004964000,2335.17,1000,3,20,91
uf20,test/uf20-0861.cnf,DPLL,True,0.003338800,3020.03,1000,3,20,91
uf20,test/uf20-0860.cnf,DPLL,True,0.002931000,1685.81,1000,3,20,91
uf20,test/uf20-0859.cnf,DPLL,True,0.004534600,374.23,1000,3,20,91
uf20,test/uf20-0858.cnf,DPLL,True,0.004367300,3684.07,1000,3,20,91
uf20,test/uf20-0857.cnf,DPLL,True,0.004087100,3975.55,1000,3,20,91
uf20,test/uf20-0856.cnf,DPLL,True,0.006010500,4005.08,1000,3,20,91
uf20,test/uf20-0855.cnf,DPLL,True,0.003088000,1586.92,1000,3,20,91
uf20,test/uf20-0854.cnf,DPLL,True,0.003539200,2886.07,1000,3,20,91
uf20,test/uf20-0853.cnf,DPLL,True,0.008146100,31.52,1000,3,20,91
uf20,test/uf20-0852.cnf,DPLL,True,0.003219100,2071.03,1000,3,20,91
uf20,test/uf20-0851.cnf,DPLL,True,0.005691000,3824.53,1000,3,20,91
uf20,test/uf20-0850.cnf,DPLL,True,0.005391000,3510.56,1000,3,20,91
uf20,test/uf20-0849.cnf,DPLL,True,0.004185500,3177.06,1000,3,20,91
uf20,test/uf20-0848.cnf,DPLL,True,0.003651900,3274.93,1000,3,20,91
uf20,test/uf20-0847.cnf,DPLL,True,0.005221600,2066.61,1000,3,20,91
uf20,test/uf20-0846.cnf,DPLL,True,0.005997700,18014398509481982.00,1000,3,20,91
uf20,test/uf20-0845.cnf,DPLL,True,0.005592400,3366.26,1000,3,20,91
uf20,test/uf20-0844.cnf,DPLL,True,0.004483300,853.06,1000,3,20,91
uf20,test/uf20-0843.cnf,DPLL,True,0.004364100,3441.14,1000,3,20,91
uf20,test/uf20-0842.cnf,DPLL,True,0.003428600,2910.92,1000,3,20,91
uf20,test/uf20-0841.cnf,DPLL,True,0.003003600,1819.63,1000,3,20,91
uf20,test/uf20-0840.cnf,DPLL,True,0.003943900,3293.98,1000,3,20,91
uf20,test/uf20-0839.cnf,DPLL,True,0.005607600,3639.77,1000,3,20,91
uf20,test/uf20-0838.cnf,DPLL,True,0.005038500,2318.92,1000,3,20,91
uf20,test/uf20-0837.cnf,DPLL,True,0.003579200,3795.27,1000,3,20,91
uf20,test/uf20-0836.cnf,DPLL,True,0.005503900,2865.96,1000,3,20,91
uf20,test/uf20-0835.cnf,DPLL,True,0.003889400,3907.64,1000,3,20,91
uf20,test/uf20-0834.cnf,DPLL,True,0.005983100,2349.77,1000,3,20,91
uf20,test/uf20-0833.cnf,DPLL,True,0.005994900,3344.16,1000,3,20,91
uf20,test/uf20-0832.cnf,DPLL,True,0.004469800,2263.89,1000,3,20,91
uf20,test/uf20-0831.cnf,DPLL,True,0.004035800,2923.08,1000,3,20,91
uf20,test/uf20-0830.cnf,DPLL,True,0.006301100,2480.69,1000,3,20,91
uf20,test/uf20-0829.cnf,DPLL,True,0.004473000,3797.95,1000,3,20,91
uf20,test/uf20-0828.cnf,DPLL,True,0.004790300,1862.41,1000,3,20,91
uf20,test/uf20-0827.cnf,DPLL,True,0.004445500,356.01,1000,3,20,91
uf20,test/uf20-0826.cnf,DPLL,True,0.004520200,3857.73,1000,3,20,91
uf20,test/uf20-0825.cnf,DPLL,True,0.005022400,1398.17,1000,3,20,91
